feature,target_corr,single_feature_cv_pr_auc,single_feature_cv_roc_auc,mutual_information_bits,label_reconstruction_rate,identifier_like,flag_high_corr,flag_high_single_ap,flag_label_copy,flag_perfect_separation,flag_identifier,suspicious
F63,0.0212601214808297,0.015735669728814603,0.5830752034318263,0.004274710813480269,0.0,false,false,false,false,false,false,false
F64,0.06091920148519627,0.026582813543459177,0.6847244573866008,0.007315584379084621,0.0,false,false,false,false,false,false,false
F65,0.019103684179401066,0.010440643162744387,0.5300871495229593,0.0023453977468212844,0.0,false,false,false,false,false,false,false
F66,0.025675682670002985,0.010669609600246457,0.5401945047776653,0.0017830139300066155,0.0,false,false,false,false,false,false,false
F67,0.0,0.009539634548557713,0.5328298476155222,0.0019807484458225218,0.0,false,false,false,false,false,false,false
F68,0.009486273947727001,0.009370194071197607,0.47345084929215064,0.002337859803744884,0.0,false,false,false,false,false,false,false
F69,0.015471134611854434,0.010801689801272434,0.5305106747839798,0.0015462151633076422,0.0,false,false,false,false,false,false,false
F70,0.0,0.009530696131991753,0.5323854957122587,0.0019807484458228006,0.0,false,false,false,false,false,false,false
F71,-0.002871486210974029,0.009294320786596363,0.49234447105003387,0.000902934008507165,0.0,false,false,false,false,false,false,false
F72,-0.0368211695601221,0.009144784771986823,0.492159864889876,0.0007605599156726861,0.0,false,false,false,false,false,false,false
F73,0.024030060949926286,0.009211633378690487,0.48650641426059604,0.0010590451609631157,0.0,false,false,false,false,false,false,false
F74,-0.013584666115211311,0.009469928917672305,0.4847110247393423,0.0010008859471707537,0.0,false,false,false,false,false,false,false
F75,-0.04332757084035054,0.009612662396249838,0.5122082504318588,0.000680437897682666,0.0,false,false,false,false,false,false,false
F76,0.012930917815861868,0.009223779530448653,0.48644743660929113,0.000931264549861284,0.0,false,false,false,false,false,false,false
F77,0.09850023678460497,0.010743540320371173,0.5244822205256339,0.0004981145259686701,0.0,false,false,false,false,false,false,false
F78,0.09853701353372389,0.010743540320371173,0.5244822205256339,0.0004981145259686697,0.0,false,false,false,false,false,false,false
F79,0.09428402440804733,0.010731930360365396,0.5247356927478561,0.0004942280293628509,0.0,false,false,false,false,false,false,false
F80,0.09435811194040669,0.010731930360365396,0.5247356927478561,0.0004942280293628509,0.0,false,false,false,false,false,false,false
F81,0.11693926049040962,0.009840052692386622,0.5074994139058548,0.00025479357294426447,0.5,false,false,false,false,false,false,false
F82,0.11693926049040962,0.009840052692386622,0.5074994139058548,0.00025479357294426447,0.5,false,false,false,false,false,false,false
F83,0.1164356371983182,0.009839005056377276,0.5073883027947437,0.00025479357294426447,0.5,false,false,false,false,false,false,false
F84,0.1164356371983182,0.009839005056377276,0.5073883027947437,0.00025479357294426447,0.5,false,false,false,false,false,false,false
F85,0.00007371230017785848,0.009575665412654241,0.5340098864828182,0.0013924361998745869,0.0,false,false,false,false,false,false,false
F86,0.0,0.00907852865209044,0.5088880560182615,0.0005198366908458086,0.0,false,false,false,false,false,false,false
F87,0.0011951488367343774,0.00943490830213822,0.5270903201924856,0.001288873467905737,0.0,false,false,false,false,false,false,false
F88,0.001100289964268551,0.00956482047524029,0.5334925658584737,0.001569961178778453,0.0,false,false,false,false,false,false,false
F89,0.0,0.009077515835529876,0.5088325004627059,0.0005198366908458086,0.0,false,false,false,false,false,false,false
F90,0.0023814554378298776,0.009426618340596483,0.5266841106792522,0.0012180520417629731,0.0,false,false,false,false,false,false,false
F91,0.023539217255332704,0.010142722701999703,0.5183513587903235,0.000750072285142068,0.0,false,false,false,false,false,false,false
F92,0.03170602004413963,0.009120738398489373,0.493107958813731,0.00020800393440053097,0.0,false,false,false,false,false,false,false
F93,0.034744648001337544,0.010446647229743942,0.5237496933439302,0.0005717272604678516,0.0,false,false,false,false,false,false,false
